name,age,height,nationality,current_club,current_market_value,date_highest_market_value,total_transfer_proceeds,apps_season,goals_season,assists_season,played_minutes,wc_winner,cl_winner,days_in_team,days_to_contract_expiry,international_exp,offence,midfield,defence,liga1,liga2,Asia,Africa,America,Europe,goals*mins
Jérôme Boateng,28,192,Germany,bayern munich,40000000,274,27100000,17,0,1,1238,1,1,2109,1530,67,0,0,1,1,0,0,0,0,1,0
Mats Hummels,28,191,Germany,bayern munich,38000000,325,39200000,39,2,3,3049,1,0,295,1530,57,0,0,1,1,0,0,0,0,1,6098
Javi Martínez,28,190,Spain,bayern munich,25000000,1392,46000000,35,1,1,2795,1,1,1697,1530,18,0,0,1,1,0,0,0,0,1,2795
David Alaba,24,180,Austria,bayern munich,40000000,554,150000,41,3,7,3332,0,1,2487,1530,56,0,0,1,1,0,0,0,0,1,9996
Juan Bernat,24,170,Spain,bayern munich,16000000,661,10000000,20,3,3,1322,0,0,1020,799,7,0,0,1,1,0,0,0,0,1,3966
Philipp Lahm,33,170,Germany,bayern munich,11000000,1392,200000,34,2,4,2862,1,1,5409,434,113,0,0,1,1,0,0,0,0,1,5724
Rafinha,31,172,Brazil,bayern munich,5000000,3244,18500000,24,1,3,1364,0,1,2122,434,2,0,0,1,1,0,0,0,1,0,1364
Xabi Alonso,35,183,Spain,bayern munich,3500000,2430,60400000,33,3,1,2556,1,1,967,69,114,0,1,0,1,0,0,0,0,1,7668
Niklas Dorsch,19,175,Germany,bayern munich,200000,274,0,18,2,1,1509,0,0,295,434,2,0,1,0,1,0,0,0,0,1,3018
Thiago,26,174,Spain,bayern munich,40000000,31,25000000,37,7,9,3182,0,1,1378,799,20,0,1,0,1,0,0,0,0,1,22274
Arturo Vidal,29,180,Chile,bayern munich,37000000,1016,54700000,37,8,4,2672,0,0,634,799,87,0,1,0,1,0,0,0,1,0,21376
Renato Sanches,19,176,Portugal,bayern munich,30000000,274,35000000,23,0,0,798,0,0,295,1530,12,0,1,0,1,0,0,0,0,1,0
Joshua Kimmich,22,176,Germany,bayern munich,25000000,74,10500000,35,7,2,1715,0,0,660,1165,13,0,1,0,1,0,0,0,0,1,12005
Fabian Benko,18,180,Croatia,bayern munich,250000,274,0,28,1,1,1695,0,0,295,434,0,0,1,0,1,0,0,0,0,1,1695
Douglas Costa,26,172,Brazil,bayern munich,30000000,554,38000000,31,7,9,1785,0,0,661,1165,18,1,0,0,1,0,0,0,1,0,12495
Franck Ribéry,34,170,France,bayern munich,8000000,2652,30000000,27,4,15,1673,0,1,3583,434,81,1,0,0,1,0,0,0,0,1,6692
Kingsley Coman,20,178,France,bayern munich,20000000,274,7000000,22,2,0,862,0,0,601,69,11,1,0,0,1,0,0,0,0,1,1724
Arjen Robben,33,180,Netherlands,bayern munich,10000000,2472,82300000,32,12,9,2280,0,1,2794,434,89,1,0,0,1,0,0,0,0,1,27360
Thomas Müller,27,186,Germany,bayern munich,60000000,554,0,36,8,15,2610,1,1,2852,1530,85,1,0,0,1,0,0,0,0,1,20880
Robert Lewandowski,28,184,Poland,bayern munich,80000000,74,5150000,41,39,8,3481,0,0,1026,1530,86,1,0,0,1,0,0,0,0,1,135759
Jonathan Tah,21,194,Germany,bayer 04 leverkusen,22000000,74,7500000,23,1,1,2046,0,0,646,1165,3,0,0,1,1,0,0,0,0,1,2046
Ömer Toprak,27,187,Turkey,bayer 04 leverkusen,18000000,274,15000000,30,1,0,2622,0,0,2122,434,26,0,0,1,1,0,0,0,0,1,2622
Aleksandar Dragovic,26,184,Austria,bayer 04 leverkusen,15000000,325,28000000,26,0,2,1872,0,0,242,1530,56,0,0,1,1,0,0,0,0,1,0
Tin Jedvaj,21,184,Croatia,bayer 04 leverkusen,6500000,661,13000000,19,1,0,1438,0,0,823,1165,5,0,0,1,1,0,0,0,0,1,1438
Joel Abu Hanna,19,184,Germany,bayer 04 leverkusen u19,100000,274,0,25,1,0,2031,0,0,661,799,2,0,0,1,0,0,0,0,0,1,2031
Wendell,23,176,Brazil,bayer 04 leverkusen,13000000,554,6500000,33,2,2,2709,0,0,1026,1530,0,0,0,1,1,0,0,0,1,0,5418
Benjamin Henrichs,20,183,Germany,bayer 04 leverkusen,10000000,74,0,33,0,3,2709,0,0,661,1165,2,0,0,1,1,0,0,0,0,1,0
Danny da Costa,23,187,Germany,bayer 04 leverkusen,1500000,274,500000,3,0,0,179,0,0,295,1165,5,0,0,1,1,0,0,0,0,1,0
Roberto Hilbert,32,183,Germany,bayer 04 leverkusen,1000000,3593,1300000,7,0,0,660,0,0,1380,69,8,0,0,1,1,0,0,0,0,1,0
Lars Bender,27,185,Germany,bayer 04 leverkusen,15000000,1165,2500000,12,0,1,823,0,0,2804,799,6,0,1,0,1,0,0,0,0,1,0
Julian Baumgartlinger,29,183,Austria,bayer 04 leverkusen,5000000,325,5300000,26,0,2,1676,0,0,295,1165,53,0,1,0,1,0,0,0,0,1,0
Kevin Kampl,26,178,Slovenia,bayer 04 leverkusen,15000000,191,26250000,35,2,4,3146,0,0,603,1165,24,0,1,0,1,0,0,0,0,1,6292
Charles Aránguiz,28,171,Chile,bayer 04 leverkusen,8000000,274,25870000,31,1,3,2130,0,0,618,1165,55,0,1,0,1,0,0,0,1,0,2130
Vladlen Yurchenko,23,181,Ukraine,bayer 04 leverkusen,500000,374,255000,4,1,0,222,0,0,1026,434,0,0,1,0,1,0,0,0,0,1,222
Karim Bellarabi,27,183,Germany,bayer 04 leverkusen,22000000,274,150000,18,4,5,1259,0,0,2122,1530,11,0,1,0,1,0,0,0,0,1,5036
Julian Brandt,20,183,Germany,bayer 04 leverkusen,20000000,74,350000,36,4,8,2484,0,0,1207,799,5,0,1,0,1,0,0,0,0,1,9936
Hakan Calhanoglu,23,178,Turkey,bayer 04 leverkusen,20000000,74,17000000,22,7,7,1590,0,0,1023,799,26,0,1,0,1,0,0,0,0,1,11130
Kai Havertz,17,186,Germany,bayer 04 leverkusen,5000000,31,0,36,3,6,2226,0,0,295,69,16,0,1,0,1,0,0,0,0,1,6678
Leon Bailey,19,180,Jamaica,bayer 04 leverkusen,12500000,184,14900000,41,8,10,2893,0,0,81,1895,1,1,0,0,1,0,0,0,1,0,23144
Admir Mehmedi,26,183,Switzerland,bayer 04 leverkusen,4000000,1017,17800000,28,4,2,1585,0,0,661,799,50,1,0,0,1,0,0,0,0,1,6340
Chicharito,28,175,Mexico,bayer 04 leverkusen,22000000,191,22500000,33,12,3,2437,0,0,600,434,88,1,0,0,1,0,0,0,1,0,29244
Kevin Volland,24,179,Germany,bayer 04 leverkusen,17000000,1017,20700000,28,8,2,1741,0,0,295,1530,10,1,0,0,1,0,0,0,0,1,13928
Stefan Kießling,33,191,Germany,bayer 04 leverkusen,2000000,1165,6500000,20,1,2,709,0,0,3948,434,6,1,0,0,1,0,0,0,0,1,709
Joel Pohjanpalo,22,185,Finland,bayer 04 leverkusen,1500000,661,500000,10,4,0,211,0,0,1026,799,21,1,0,0,1,0,0,0,0,1,844
Andreas Christensen,21,188,Denmark,borussia mönchengladbach,16000000,74,0,37,4,0,3322,0,0,652,69,10,0,0,1,0,0,0,0,0,1,13288
Jannik Vestergaard,24,199,Denmark,borussia mönchengladbach,10000000,274,15000000,43,3,1,3273,0,0,295,1530,12,0,0,1,0,0,0,0,0,1,9819
Timothée Kolodziejczak,25,185,France,borussia mönchengladbach,7000000,425,13000000,11,0,0,703,0,0,108,1530,15,0,0,1,0,0,0,0,0,1,0
Nico Elvedi,20,188,Switzerland,borussia mönchengladbach,7000000,74,4000000,31,0,0,2672,0,0,661,799,3,0,0,1,0,0,0,0,0,1,0
Marvin Schulz,22,186,Germany,borussia mönchengladbach,500000,432,0,0,0,0,7,0,0,1026,434,7,0,0,1,0,0,0,0,0,1,0
Mamadou Doucouré,18,184,France,borussia mönchengladbach,500000,274,0,0,0,0,11,0,0,295,1530,11,0,0,1,0,0,0,0,0,1,0
Oscar Wendt,31,181,Sweden,borussia mönchengladbach,3500000,432,830000,41,3,2,3562,0,0,2122,434,28,0,0,1,0,0,0,0,0,1,10686
Nico Schulz,24,180,Germany,borussia mönchengladbach,2000000,808,4000000,13,0,0,266,0,0,613,799,14,0,0,1,0,0,0,0,0,1,0
Tony Jantschke,27,177,Germany,borussia mönchengladbach,6000000,661,0,35,0,0,2533,0,0,2852,1530,18,0,0,1,0,0,0,0,0,1,0
Julian Korb,25,177,Germany,borussia mönchengladbach,4000000,432,0,19,1,1,1267,0,0,2122,434,8,0,0,1,0,0,0,0,0,1,1267
Christoph Kramer,26,191,Germany,borussia mönchengladbach,12000000,901,15200000,35,0,4,2812,1,0,295,1530,12,0,1,0,0,0,0,0,0,1,0
Tobias Strobl,26,188,Germany,borussia mönchengladbach,3000000,901,50000,32,0,2,2237,0,0,295,1165,0,0,1,0,0,0,0,0,0,1,0
Tsiy William Ndenge,19,188,Germany,borussia mönchengladbach,100000,661,0,17,2,1,1135,0,0,295,799,4,0,1,0,0,0,0,0,0,1,2270
Mahmoud Dahoud,21,177,Germany,borussia mönchengladbach,15000000,274,12000000,36,3,7,2868,0,0,1391,434,6,0,1,0,0,0,0,0,0,1,8604
Djibril Sow,20,184,Switzerland,borussia mönchengladbach,1000000,661,1500000,15,3,4,1120,0,0,295,1165,1,0,1,0,0,0,0,0,0,1,3360
Patrick Herrmann,26,179,Germany,borussia mönchengladbach,8000000,661,0,27,1,3,1192,0,0,2487,799,2,0,1,0,0,0,0,0,0,1,1192
Ibrahima Traoré,29,172,Guinea,borussia mönchengladbach,5000000,432,50000,17,1,3,1110,0,0,1026,434,33,0,1,0,0,0,0,1,0,0,1110
Jonas Hofmann,24,176,Germany,borussia mönchengladbach,3500000,432,8200000,23,1,3,1493,0,0,477,1165,10,0,1,0,0,0,0,0,0,1,1493
Fabian Johnson,29,183,United States,borussia mönchengladbach,6000000,432,1800000,33,4,4,1940,0,0,1026,434,50,0,1,0,0,0,0,0,1,0,7760
Thorgan Hazard,24,174,Belgium,borussia mönchengladbach,12000000,191,10000000,32,10,7,2192,0,0,661,799,3,0,1,0,0,0,0,0,0,1,21920
László Bénes,19,181,Slovakia,borussia mönchengladbach,1000000,274,2000000,18,2,4,1015,0,0,295,1530,2,0,1,0,0,0,0,0,0,1,2030
Lars Stindl,28,180,Germany,borussia mönchengladbach,13000000,31,3000000,38,16,9,3241,0,0,661,1165,1,1,0,0,0,0,0,0,0,1,51856
Ba-Muaka Simakala,20,180,Germany,borussia mönchengladbach,200000,74,0,21,3,6,1046,0,0,295,799,1,1,0,0,0,0,0,0,0,1,3138
Raffael,32,174,Brazil,borussia mönchengladbach,7000000,1017,19670000,29,12,4,2103,0,0,1391,799,0,1,0,0,0,0,0,0,1,0,25236
André Hahn,26,185,Germany,borussia mönchengladbach,6000000,808,2500000,39,4,2,1842,0,0,1026,434,1,1,0,0,0,0,0,0,0,1,7368
Josip Drmic,24,181,Switzerland,borussia mönchengladbach,4000000,1017,20200000,16,0,4,517,0,0,661,799,25,1,0,0,0,0,0,0,0,1,0
Willi Orban,24,186,Germany,rasenballsport leipzig,6000000,74,2000000,28,3,1,2548,0,0,661,799,2,0,0,1,1,0,0,0,0,1,7644
Dayot Upamecano,18,185,France,rasenballsport leipzig,5000000,121,12200000,29,0,2,2088,0,0,99,1530,6,0,0,1,1,0,0,0,0,1,0
Marvin Compper,31,185,Germany,rasenballsport leipzig,1250000,3013,1000000,23,2,0,1876,0,0,994,69,1,0,0,1,1,0,0,0,0,1,3752
Marcel Halstenberg,25,186,Germany,rasenballsport leipzig,5000000,74,3500000,29,0,3,2617,0,0,600,799,0,0,0,1,1,0,0,0,0,1,0
Bernardo,21,186,Brazil,rasenballsport leipzig,4000000,74,6000000,27,3,0,2372,0,0,237,1530,0,0,0,1,1,0,0,0,1,0,7116
Lukas Klostermann,20,189,Germany,rasenballsport leipzig,3000000,274,1000000,1,0,0,90,0,0,974,1530,6,0,0,1,1,0,0,0,0,1,0
Benno Schmitz,22,182,Germany,rasenballsport leipzig,1750000,31,800000,14,0,1,979,0,0,295,1165,7,0,0,1,1,0,0,0,0,1,0
Ken Gipson,21,178,Germany,rasenballsport leipzig ii,200000,436,0,9,0,0,688,0,0,661,434,0,0,0,1,0,0,0,0,0,1,0
Stefan Ilsanker,27,189,Austria,rasenballsport leipzig,4000000,74,3000000,29,0,1,2391,0,0,661,1165,23,0,1,0,1,0,0,0,0,1,0
Diego Demme,25,170,Germany,rasenballsport leipzig,4000000,74,375000,28,1,4,2542,0,0,1200,1530,0,0,1,0,1,0,0,0,0,1,2542
Rani Khedira,23,188,Germany,rasenballsport leipzig,750000,830,500000,8,0,0,131,0,0,1026,69,0,0,1,0,1,0,0,0,0,1,0
Naby Keïta,22,172,Guinea,rasenballsport leipzig,22000000,31,16500000,27,8,8,2066,0,0,295,1165,18,0,1,0,1,0,0,1,0,0,16528
Dominik Kaiser,28,171,Germany,rasenballsport leipzig,3000000,191,600000,24,2,0,1038,0,0,1745,434,0,0,1,0,1,0,0,0,0,1,2076
Emil Forsberg,25,179,Sweden,rasenballsport leipzig,15000000,31,4000000,26,8,17,1990,0,0,836,1895,25,1,0,0,1,0,0,0,0,1,15920
Marcel Sabitzer,23,177,Austria,rasenballsport leipzig,10000000,31,2350000,28,7,4,2289,0,0,1026,1530,27,1,0,0,1,0,0,0,0,1,16023
Oliver Burke,20,188,Scotland,rasenballsport leipzig,10000000,191,15000000,29,5,4,1034,0,0,236,1530,5,1,0,0,1,0,0,0,0,1,5170
Timo Werner,21,181,Germany,rasenballsport leipzig,16000000,31,10000000,28,16,7,2146,0,0,295,1165,1,1,0,0,1,0,0,0,0,1,34336
Yussuf Poulsen,22,193,Denmark,rasenballsport leipzig,6000000,74,1300000,25,3,3,1768,0,0,1388,799,18,1,0,0,1,0,0,0,0,1,5304
Davie Selke,22,192,Germany,rasenballsport leipzig,3000000,755,8050000,16,2,1,383,0,0,661,1165,11,1,0,0,1,0,0,0,0,1,766
Federico Palacios Martínez,22,170,Germany,rasenballsport leipzig ii,225000,1184,600000,27,18,7,2168,0,0,661,434,2,1,0,0,0,0,0,0,0,1,39024
Dominique Heintz,23,188,Germany,1 fc köln,6000000,274,1500000,30,0,0,2538,0,0,661,1530,6,0,0,1,0,0,0,0,0,1,0
Frederik Sörensen,25,194,Denmark,1 fc köln,6000000,74,5720000,28,0,3,2440,0,0,651,1530,0,0,0,1,0,0,0,0,0,1,0
Neven Subotic,28,192,Serbia,1 fc köln,5000000,1392,5000000,10,1,0,751,0,0,86,69,36,0,0,1,0,0,0,0,0,1,751
Dominic Maroh,30,186,Slovenia,1 fc köln,3000000,274,0,15,1,0,844,0,0,1756,434,7,0,0,1,0,0,0,0,0,1,844
Jonas Hector,26,185,Germany,1 fc köln,18000000,74,0,31,0,1,2784,0,0,1756,1530,27,0,0,1,0,0,0,0,0,1,0
Pawel Olkowski,27,184,Poland,1 fc köln,2250000,755,70000,16,0,3,1315,0,0,1026,799,13,0,0,1,0,0,0,0,0,1,0
Lukas Klünter,20,187,Germany,1 fc köln,200000,760,0,20,1,5,1786,0,0,295,69,7,0,0,1,0,0,0,0,0,1,1786
Matthias Lehmann,33,179,Germany,1 fc köln,750000,2292,1430000,18,0,3,1498,0,0,1756,434,16,0,1,0,0,0,0,0,0,1,0
Marco Höger,27,182,Germany,1 fc köln,4000000,1392,2800000,28,0,1,2044,0,0,295,1530,0,0,1,0,0,0,0,0,0,1,0
Milos Jojic,25,177,Serbia,1 fc köln,1500000,1017,5200000,16,3,3,755,0,0,657,799,5,0,1,0,0,0,0,0,0,1,2265
Marcel Hartel,21,176,Germany,1 fc köln,300000,274,0,12,2,4,973,0,0,295,799,0,0,1,0,0,0,0,0,0,1,1946
Marcel Risse,27,183,Germany,1 fc köln,4500000,74,1650000,15,4,5,1314,0,0,1391,1895,4,0,1,0,0,0,0,0,0,1,5256
Christian Clemens,25,180,Germany,1 fc köln,2750000,1393,7950000,17,1,1,1222,0,0,111,1530,5,0,1,0,0,0,0,0,0,1,1222
Leonardo Bittencourt,23,171,Germany,1 fc köln,5000000,1017,8000000,13,1,6,751,0,0,648,1530,18,0,1,0,0,0,0,0,0,1,751
Konstantin Rausch,27,182,Germany,1 fc köln,2000000,1560,0,27,1,3,2033,0,0,295,799,8,0,1,0,0,0,0,0,0,1,2033
Salih Özcan,19,182,Germany,1 fc köln,750000,74,0,14,0,2,620,0,0,295,1165,8,0,1,0,0,0,0,0,0,1,0
Yuya Osako,26,182,Japan,1 fc köln,3500000,74,2100000,29,8,7,2258,0,0,1026,1165,18,1,0,0,0,0,1,0,0,0,18064
Anthony Modeste,29,187,France,1 fc köln,17000000,31,11000000,32,25,3,2801,0,0,661,1530,16,1,0,0,0,0,0,0,0,1,70025
Simon Zoller,25,179,Germany,1 fc köln,2500000,1027,3800000,25,1,2,1061,0,0,1026,1165,0,1,0,0,0,0,0,0,0,1,1061
Sehrou Guirassy,21,186,France,1 fc köln,2000000,283,4300000,10,2,1,427,0,0,276,1530,9,1,0,0,0,0,0,0,0,1,854
Artjoms Rudnevs,29,183,Latvia,1 fc köln,1500000,1503,4400000,19,4,4,908,0,0,295,799,38,1,0,0,0,0,0,0,0,1,3632
Stefan Bell,25,192,Germany,1 fsv mainz 05,6000000,274,100000,33,4,1,2953,0,0,2487,1165,5,0,0,1,1,0,0,0,0,1,11812
Leon Balogun,28,190,Nigeria,1 fsv mainz 05,2000000,274,0,17,0,0,1051,0,0,661,434,9,0,0,1,1,0,0,1,0,0,0
André Ramalho,25,182,Brazil,1 fsv mainz 05,2000000,1121,500000,17,0,0,1234,0,0,234,69,0,0,0,1,1,0,0,0,1,0,0
Niko Bungert,30,188,Germany,1 fsv mainz 05,1500000,1758,80000,13,2,0,1072,0,0,3217,799,3,0,0,1,1,0,0,0,0,1,2144
Alexander Hack,23,193,Germany,1 fsv mainz 05,1500000,74,0,21,1,2,1853,0,0,509,799,2,0,0,1,1,0,0,0,0,1,1853
Gaëtan Bussmann,26,184,France,1 fsv mainz 05,2250000,274,1000000,20,0,3,1580,0,0,601,69,3,0,0,1,1,0,0,0,0,1,0
Marin Sverko,19,187,Croatia,1 fsv mainz 05,60000,477,1705,1705,0,0,0,0,0,95,1530,3,0,0,1,1,0,0,0,0,1,0
Giulio Donati,27,178,Italy,1 fsv mainz 05,3500000,1165,4000000,33,0,2,2907,0,0,453,799,24,0,0,1,1,0,0,0,0,1,0
Daniel Brosinski,28,178,Germany,1 fsv mainz 05,2500000,808,1530000,30,0,2,2553,0,0,1024,799,4,0,0,1,1,0,0,0,0,1,0
Jean-Philippe Gbamin,21,186,France,1 fsv mainz 05,5000000,74,5000000,28,0,0,2065,0,0,283,1530,11,0,1,0,1,0,0,0,0,1,0
Danny Latza,27,179,Germany,1 fsv mainz 05,4000000,31,0,17,4,1,1346,0,0,661,799,8,0,1,0,1,0,0,0,0,1,5384
Fabian Frei,28,183,Switzerland,1 fsv mainz 05,2750000,739,3600000,24,1,1,1618,0,0,661,799,9,0,1,0,1,0,0,0,0,1,1618
Suat Serdar,20,183,Germany,1 fsv mainz 05,1500000,74,0,20,0,1,1113,0,0,624,1530,2,0,1,0,1,0,0,0,0,1,0
Robin Quaison,23,183,Sweden,1 fsv mainz 05,2500000,662,4500000,25,5,0,1473,0,0,81,1530,3,0,1,0,1,0,0,0,0,1,7365
Philipp Klement,24,174,Germany,1 fsv mainz 05 ii,350000,439,0,19,4,1,1423,0,0,992,434,2,0,1,0,0,0,0,0,0,1,5692
Jairo Samperio,23,173,Spain,1 fsv mainz 05,5000000,274,4400000,21,2,2,1092,0,0,967,434,2,1,0,0,1,0,0,0,0,1,2184
Pablo de Blasis,29,165,Argentina,1 fsv mainz 05,3500000,74,1200000,35,6,5,2102,0,0,965,434,0,1,0,0,1,0,0,0,1,0,12612
Gerrit Holtmann,22,183,Germany,1 fsv mainz 05,1750000,274,3000000,11,0,1,487,0,0,295,1165,5,1,0,0,1,0,0,0,0,1,0
Mounir Bouziane,26,184,France,1 fsv mainz 05 ii,250000,439,0,28,1,4,1762,0,0,295,69,0,1,0,0,0,0,0,0,0,1,1762
Levin Öztunali,21,185,Germany,1 fsv mainz 05,5000000,31,5200000,32,6,6,1960,0,0,240,1530,11,1,0,0,1,0,0,0,0,1,11760
Karim Onisiwo,25,188,Austria,1 fsv mainz 05,2000000,74,0,20,1,0,1271,0,0,473,799,2,1,0,0,1,0,0,0,0,1,1271
Devante Parker,21,175,Germany,1 fsv mainz 05,350000,808,0,20,1,0,1285,0,0,1026,799,8,1,0,0,1,0,0,0,0,1,1285
Bojan Krkic,26,173,Spain,1 fsv mainz 05,8000000,2430,27050000,19,4,0,937,0,1,83,69,1,1,0,0,1,0,0,0,0,1,3748
Jhon Córdoba,23,188,Colombia,1 fsv mainz 05,7000000,191,8930000,33,7,5,2529,0,0,295,1165,11,1,0,0,1,0,0,0,1,0,17703
Yoshinori Muto,24,179,Japan,1 fsv mainz 05,4500000,432,2800000,16,4,0,833,0,0,661,799,19,1,0,0,1,0,1,0,0,0,3332
Emil Berggreen,23,194,Denmark,1 fsv mainz 05,1250000,432,2650000,0,0,0,0,0,0,447,799,0,1,0,0,1,0,0,0,0,1,0
Aaron Seydel,21,199,Germany,1 fsv mainz 05 ii,500000,74,0,35,7,4,2080,0,0,661,1530,1,1,0,0,0,0,0,0,0,1,14560
Yunus Malli,25,179,Turkey,vfl wolfsburg,13000000,74,12500000,37,9,9,2982,0,0,107,1530,11,0,1,0,1,0,0,0,0,1,26838
Lamine Sané,30,192,Senegal,sv werder bremen,4000000,1423,0,23,1,1,2008,0,0,261,799,35,0,0,1,1,0,0,1,0,0,2008
Luca Caldirola,26,189,Italy,sv werder bremen,3000000,1017,3100000,7,0,0,592,0,0,1390,69,31,0,0,1,1,0,0,0,0,1,0
Niklas Moisander,31,183,Finland,sv werder bremen,2000000,1425,6400000,27,0,1,2384,0,0,287,799,54,0,0,1,1,0,0,0,0,1,0
Milos Veljkovic,21,187,Serbia,sv werder bremen,1250000,74,330000,24,0,0,1661,0,0,446,799,11,0,0,1,1,0,0,0,0,1,0
Santiago García,28,191,Argentina,sv werder bremen,2250000,1017,3600000,18,1,2,1408,0,0,1026,69,0,0,0,1,1,0,0,0,1,0,1408
Ulisses Garcia,21,185,Switzerland,sv werder bremen,750000,554,600000,9,1,0,530,0,0,661,799,0,0,0,1,1,0,0,0,0,1,530
Robert Bauer,22,183,Germany,sv werder bremen,2500000,74,2500000,23,0,2,1789,0,0,242,1165,1,0,0,1,1,0,0,0,0,1,0
Theodor Gebre Selassie,30,181,Czech Republic,sv werder bremen,2250000,1560,2500000,26,3,2,2023,0,0,1756,434,41,0,0,1,1,0,0,0,0,1,6069
Florian Grillitsch,21,187,Austria,sv werder bremen,4000000,274,0,20,2,0,1459,0,0,661,69,1,0,1,0,1,0,0,0,0,1,2918
Philipp Bargfrede,28,174,Germany,sv werder bremen,1500000,2427,0,7,0,0,377,0,0,3217,434,4,0,1,0,1,0,0,0,0,1,0
Maximilian Eggestein,20,181,Germany,sv werder bremen,1000000,31,0,24,3,0,1721,0,0,661,434,6,0,1,0,1,0,0,0,0,1,5163
Thomas Delaney,25,182,Denmark,sv werder bremen,4500000,31,2000000,39,12,6,3201,0,0,111,1530,14,0,1,0,1,0,0,0,0,1,38412
Sambou Yatabaré,28,190,Mali,sv werder bremen,1500000,432,6200000,11,2,1,845,0,0,450,799,26,0,1,0,1,0,0,1,0,0,1690
Clemens Fritz,36,183,Germany,sv werder bremen,750000,3399,2250000,19,0,3,1372,0,0,3948,69,22,0,1,0,1,0,0,0,0,1,0
Fin Bartels,30,176,Germany,sv werder bremen,3000000,661,0,27,5,5,1864,0,0,1026,799,1,0,1,0,1,0,0,0,0,1,9320
Izet Hajrovic,25,177,Bosnia-Herzegovina,sv werder bremen,1000000,1181,3500000,10,1,0,492,0,0,1017,434,22,0,1,0,1,0,0,0,0,1,492
Serge Gnabry,21,173,Germany,sv werder bremen,10000000,74,5100000,22,10,2,1800,0,0,234,1165,10,0,1,0,1,0,0,0,0,1,18000
Florian Kainz,24,175,Austria,sv werder bremen,2750000,325,3850000,12,2,2,203,0,0,295,1165,1,0,1,0,1,0,0,0,0,1,406
Zlatko Junuzovic,29,172,Austria,sv werder bremen,6000000,755,800000,27,4,7,2226,0,0,1912,434,54,0,1,0,1,0,0,0,0,1,8904
Niklas Schmidt,19,184,Germany,sv werder bremen ii,300000,71,0,28,1,4,2230,0,0,295,0,8,0,1,0,0,0,0,0,0,1,2230
Melvyn Lorenzen,22,188,Germany,sv werder bremen,250000,808,0,27,2,0,1221,0,0,661,69,1,1,0,0,1,0,0,0,0,1,2442
Justin Eilers,28,186,Germany,sv werder bremen,750000,274,0,7,0,1,603,0,0,295,799,0,1,0,0,1,0,0,0,0,1,0
Max Kruse,29,181,Germany,sv werder bremen,8000000,901,22500000,19,9,4,1687,0,0,263,799,14,1,0,0,1,0,0,0,0,1,15183
Aron Jóhannsson,26,184,United States,sv werder bremen,2000000,1166,6100000,9,1,2,267,0,0,626,799,19,1,0,0,1,0,0,0,1,0,267
Claudio Pizarro,38,184,Peru,sv werder bremen,1000000,4272,13760000,17,1,2,820,0,1,593,69,79,1,0,0,1,0,0,0,1,0,820
Ousman Manneh,20,189,The Gambia,sv werder bremen ii,500000,191,0,24,5,5,1891,0,0,774,434,0,1,0,0,0,0,0,1,0,0,9455
Johannes Eggestein,18,183,Germany,sv werder bremen,400000,274,0,16,3,0,1095,0,0,295,799,5,1,0,0,1,0,0,0,0,1,3285
Martin Hinteregger,24,184,Austria,fc augsburg,8000000,480,8000000,38,3,0,3433,0,0,234,434,24,0,0,1,1,0,0,0,0,1,10299
Jeffrey Gouweleeuw,25,187,Netherlands,fc augsburg,3500000,274,4500000,14,1,1,1198,0,0,469,1165,2,0,0,1,1,0,0,0,0,1,1198
Marvin Friedrich,21,190,Germany,fc augsburg,1000000,274,1000000,6,0,0,540,0,0,295,799,4,0,0,1,1,0,0,0,0,1,0
Jan-Ingwer Callsen-Bracker,32,188,Germany,fc augsburg,750000,1017,750000,0,0,0,5,0,0,2668,69,5,0,0,1,1,0,0,0,0,1,0
Christoph Janker,32,185,Germany,fc augsburg,300000,2873,100000,17,0,0,1265,0,0,813,434,13,0,0,1,1,0,0,0,0,1,0
Kevin Danso,18,190,Austria,fc augsburg,200000,31,0,21,6,3,1795,0,0,44,1530,3,0,0,1,1,0,0,0,0,1,10770
Tim Rieder,23,186,Germany,fc augsburg,200000,31,0,15,0,0,1156,0,0,1026,1530,0,0,0,1,1,0,0,0,0,1,0
Konstantinos Stafylidis,23,178,Greece,fc augsburg,4000000,74,4000000,25,4,1,2124,0,0,611,799,16,0,0,1,1,0,0,0,0,1,8496
Philipp Max,23,178,Germany,fc augsburg,3500000,274,4550000,21,0,0,1466,0,0,627,1165,3,0,0,1,1,0,0,0,0,1,0
Paul Verhaegh,33,178,Netherlands,fc augsburg,1500000,1916,300000,26,3,2,2329,0,0,2487,434,3,0,0,1,1,0,0,0,0,1,6987
Georg Teigl,26,183,Austria,fc augsburg,750000,1585,0,17,0,1,713,0,0,295,1165,8,0,0,1,1,0,0,0,0,1,0
Raphael Framberger,21,179,Germany,fc augsburg,250000,31,0,5,0,1,233,0,0,1391,1530,1,0,0,1,1,0,0,0,0,1,0
Daniel Baier,32,175,Germany,fc augsburg,2000000,661,450000,24,1,3,2131,0,0,2638,434,1,0,1,0,1,0,0,0,0,1,2131
Gojko Kacar,30,185,Serbia,fc augsburg,1250000,2792,8500000,23,0,0,1184,0,0,277,434,25,0,1,0,1,0,0,0,0,1,0
Marco Schuster,21,179,Germany,fc augsburg,100000,1017,0,22,1,0,1980,0,0,1026,69,0,0,1,0,1,0,0,0,0,1,1980
